volume_kg,distribution_channel,customer,brand,channel,store_format,category,year,month
460.0265846927045,0,1,1,FOOD SERVICE,3,3,2010,1
456.9443278830593,0,1,1,FOOD SERVICE,3,3,2010,2
926.7902429275799,0,1,1,FOOD SERVICE,3,3,2010,3
762.5491672886303,0,1,1,FOOD SERVICE,3,3,2010,4
1132.060703920876,0,1,1,FOOD SERVICE,3,3,2010,5
779.9657837194934,0,1,1,FOOD SERVICE,3,3,2010,6
1073.0383629409653,0,1,1,FOOD SERVICE,3,3,2010,7
1077.1411407621758,0,1,1,FOOD SERVICE,3,3,2010,8
914.2684062774705,0,1,1,FOOD SERVICE,3,3,2010,9
1442.7513331929815,0,1,1,FOOD SERVICE,3,3,2010,10
1591.157097002294,0,1,1,FOOD SERVICE,3,3,2010,11
537.456894083092,0,1,1,FOOD SERVICE,3,3,2010,12
461.73086906921435,0,1,1,FOOD SERVICE,3,3,2011,1
838.7246885993945,0,1,1,FOOD SERVICE,3,3,2011,2
459.6536612050531,0,1,1,FOOD SERVICE,3,3,2011,3
1085.028739842114,0,1,1,FOOD SERVICE,3,3,2011,4
454.67455516834343,0,1,1,FOOD SERVICE,3,3,2011,5
682.465169755454,0,1,1,FOOD SERVICE,3,3,2011,6
916.7538709786317,0,1,1,FOOD SERVICE,3,3,2011,7
1247.6857381795296,0,1,1,FOOD SERVICE,3,3,2011,8
685.8092486228791,0,1,1,FOOD SERVICE,3,3,2011,9
1127.4928169905795,0,1,1,FOOD SERVICE,3,3,2011,10
766.9198695293386,0,1,1,FOOD SERVICE,3,3,2011,11
1373.120547767037,0,1,1,FOOD SERVICE,3,3,2011,12
306.7024261529809,0,1,1,FOOD SERVICE,3,3,2012,1
380.80350223401445,0,1,1,FOOD SERVICE,3,3,2012,2
992.0002225121469,0,1,1,FOOD SERVICE,3,3,2012,3
840.2771124773993,0,1,1,FOOD SERVICE,3,3,2012,4
843.48565810735,0,1,1,FOOD SERVICE,3,3,2012,5
754.8390968161111,0,1,1,FOOD SERVICE,3,3,2012,6
853.9956171577063,0,1,1,FOOD SERVICE,3,3,2012,7
1083.0545342562423,0,1,1,FOOD SERVICE,3,3,2012,8
709.1993886763318,0,1,1,FOOD SERVICE,3,3,2012,9
1220.7542606812767,0,1,1,FOOD SERVICE,3,3,2012,10
933.5889987904236,0,1,1,FOOD SERVICE,3,3,2012,11
1078.078052622327,0,1,1,FOOD SERVICE,3,3,2012,12
461.7814733688796,0,1,1,FOOD SERVICE,3,3,2013,1
306.9905797044066,0,1,1,FOOD SERVICE,3,3,2013,2
